Date and Time,Aggregated Power,Voltage,Current,Power,Appliance
2024-08-02 10:16:25,438.57,231,0.855,188.313,TV
2024-08-02 10:16:25,7310.94,230,35.837,6872.37,6 Ton AC
2024-08-02 10:24:06,1018.118,232,5.133,1018.118,Vacuum Cleaner
2024-08-02 10:24:06,1902.824,230,4.022,884.706,Microwave Oven
2024-08-02 10:24:06,2090.844,232,0.856,188.021,TV
2024-08-02 10:29:24,259.02,230,1.321,259.02,Refrigerator
2024-08-02 10:29:24,1258.656,230,5.176,999.636,Vacuum Cleaner
2024-08-02 10:29:24,1452.264,231,0.871,193.609,TV
2024-08-02 10:36:10,7134.879,232,35.878,7134.879,6 Ton AC
2024-08-02 10:36:10,8125.518,230,5.141,990.64,Vacuum Cleaner
2024-08-02 10:36:10,9011.082,231,3.98,885.563,Microwave Oven
2024-08-02 10:43:18,251.531,232,1.26,251.531,Refrigerator
2024-08-02 10:43:18,440.786,233,0.87,189.255,TV
2024-08-02 10:43:18,1346.506,231,4.047,905.721,Microwave Oven
2024-08-02 10:50:25,1012.019,233,5.072,1012.019,Vacuum Cleaner
2024-08-02 10:50:25,1268.85,230,1.322,256.831,Refrigerator
2024-08-02 10:50:25,1458.658,230,0.863,189.808,TV
2024-08-02 10:59:37,890.929,233,3.979,890.929,Microwave Oven
2024-08-02 10:59:37,1142.881,233,1.28,251.952,Refrigerator
2024-08-02 10:59:37,8129.516,232,35.658,6986.636,6 Ton AC
2024-08-02 11:05:42,875.742,230,4.024,875.742,Microwave Oven
2024-08-02 11:05:42,1128.657,233,1.285,252.915,Refrigerator
2024-08-02 11:05:42,1315.729,232,0.862,187.071,TV
2024-08-02 11:15:00,246.199,232,1.265,246.199,Refrigerator
2024-08-02 11:15:00,438.283,232,0.882,192.084,TV
2024-08-02 11:15:00,7509.599,233,35.037,7071.316,6 Ton AC
2024-08-02 11:22:33,253.013,231,1.275,253.013,Refrigerator
2024-08-02 11:22:33,443.21,232,0.86,190.197,TV
2024-08-02 11:22:33,7529.904,230,36.229,7086.695,6 Ton AC
2024-08-02 11:31:55,1033.615,230,5.242,1033.615,Vacuum Cleaner
2024-08-02 11:31:55,7856.286,231,35.363,6822.671,6 Ton AC
2024-08-02 11:31:55,8767.239,231,4.102,910.953,Microwave Oven
2024-08-02 11:39:00,906.652,232,4.052,906.652,Microwave Oven
2024-08-02 11:39:00,1095.057,233,0.85,188.405,TV
2024-08-02 11:39:00,2122.036,230,5.224,1026.979,Vacuum Cleaner
2024-08-02 11:43:45,894.07,230,4.077,894.07,Microwave Oven
2024-08-02 11:43:45,1915.948,233,5.247,1021.878,Vacuum Cleaner
2024-08-02 11:43:45,2169.628,233,1.281,253.679,Refrigerator
2024-08-02 11:48:58,876.352,233,4.008,876.352,Microwave Oven
2024-08-02 11:48:58,1905.424,232,5.141,1029.072,Vacuum Cleaner
2024-08-02 11:48:58,2099.391,231,0.882,193.967,TV
2024-08-02 11:55:49,879.708,231,4.062,879.708,Microwave Oven
2024-08-02 11:55:49,1142.291,230,1.319,262.583,Refrigerator
2024-08-02 11:55:49,8183.752,233,34.969,7041.461,6 Ton AC
2024-08-02 12:00:24,248.105,231,1.277,248.105,Refrigerator
2024-08-02 12:00:24,7281.835,232,35.987,7033.731,6 Ton AC
2024-08-02 12:00:24,8314.013,233,5.249,1032.177,Vacuum Cleaner
2024-08-02 12:09:10,7047.991,233,35.587,7047.991,6 Ton AC
